Time (s),Euler Roll (degrees),Euler Pitch (degrees),Euler Yaw (degrees),EKF Position X,EKF Position Y,EKF Position Z
9.645833333333332,-4.719288349151611,9.275715827941895,0.28625425696372986,-0.2987590515915509,-0.10473349368674731,0.9164505739879787
9.666666666666666,-4.541799545288086,9.247689247131348,0.31473568081855774,-0.29812034925538533,-0.099495834656299,0.9193908193501582
9.6875,-4.365952014923096,9.215625762939453,0.3428381383419037,-0.29732135948950983,-0.09429735716359454,0.9223099095421355
9.708333333333332,-4.172999382019043,9.181004524230957,0.3735431730747223,-0.2964069938399058,-0.08849128465578707,0.9252077949231259
9.729166666666666,-3.967130422592163,9.146862983703613,0.4082021713256836,-0.29548358409929787,-0.0822247931030396,0.9280844294970836
9.75,-3.763420343399048,9.113890647888184,0.4440727233886719,-0.29455023685555193,-0.07600724371531042,0.9309894121255443
9.770833333333332,-3.561537504196167,9.077129364013672,0.48220086097717285,-0.2934696854047839,-0.06983867876410817,0.9339196748669399
9.791666666666666,-3.36165714263916,9.041980743408203,0.5198058485984802,-0.2923809794270716,-0.06371913325271192,0.9368277655678421
9.8125,-3.164642572402954,9.00749397277832,0.5569556951522827,-0.29128548039639884,-0.05764863502283952,0.9397136525430534
9.833333333333332,-2.9623899459838867,8.962258338928223,0.5957707166671753,-0.2898269444446947,-0.0513840479013753,0.9425773076114399
9.854166666666666,-2.7610950469970703,8.902524948120117,0.6355782151222229,-0.2878677163681849,-0.04515191930333569,0.9454187060457069
9.875,-2.561807870864868,8.843035697937012,0.6748641729354858,-0.2859095754914058,-0.03897105854245083,0.9482378265223471
9.895833333333332,-2.3645081520080566,8.78423023223877,0.713621973991394,-0.2839527708696118,-0.032841465158822546,0.9510346510718014
9.916666666666666,-2.1699225902557373,8.731586456298828,0.7517186403274536,-0.28215860817633837,-0.0267631317753016,0.9538868374675862
9.9375,-1.9790655374526978,8.680487632751465,0.789118766784668,-0.2803971985414633,-0.02073604420597594,0.9568800508684219
9.958333333333332,-1.7999022006988525,8.6299467086792,0.8256170153617859,-0.2786362379232867,-0.015076441400636381,0.9598489224452987
9.979166666666666,-1.6207010746002197,8.581414222717285,0.862209141254425,-0.27687595912582125,-0.0095519207751561,0.9622538035967573
10.0,-1.4419169425964355,8.527225494384766,0.8985940217971802,-0.27492155535571344,-0.004075211252079761,0.9644695830981482
10.020833333333332,-1.2736955881118774,8.452095031738281,0.933232307434082,-0.27229897552494164,0.0010579870665416607,0.9666669174305017
10.041666666666666,-1.1428346633911133,8.376068115234375,0.9621812701225281,-0.2696849612164331,0.004971524352306237,0.9688458102306918
10.0625,-1.0133484601974487,8.300699234008789,0.9907614588737488,-0.26707972821045906,0.008849623815000427,0.9710062675789417
10.083333333333332,-0.8849123120307922,8.22545051574707,1.021134376525879,-0.2644658267100171,0.012692339275670345,0.9731482979594464
10.104166666666666,-0.7580195665359497,8.146265029907227,1.0523172616958618,-0.26174198801703835,0.016213716344135237,0.9739164640080444
10.125,-0.6320798993110657,8.068245887756348,1.0831860303878784,-0.25902868982814375,0.01952502765147981,0.973743110656323
10.145833333333332,-0.5003095269203186,7.991615295410156,1.1148574352264404,-0.2563261290710748,0.022804995298669008,0.9724930658268172
10.166666666666666,-0.3698250353336334,7.914682865142822,1.1469405889511108,-0.253644354701782,0.026053687328157344,0.9712526757423581
10.1875,-0.24076388776302338,7.849066734313965,1.1786514520645142,-0.25126583939736247,0.029271174924995872,0.970021950855831
10.208333333333332,-0.10623971372842789,7.785130977630615,1.2109557390213013,-0.24889610950783667,0.03245753235709639,0.9680434048536316
10.229166666666666,0.033755358308553696,7.7146830558776855,1.2433124780654907,-0.24634652370977161,0.03561283691593923,0.9653158461723155
10.25,0.18141402304172516,7.635355472564697,1.2759385108947754,-0.24359772079123906,0.03895771695914685,0.9626106494163066
10.270833333333332,0.26818475127220154,7.554408073425293,1.3003047704696655,-0.24086154724910797,0.04088291050546588,0.9599278159181646
10.291666666666666,0.35104215145111084,7.474131107330322,1.3238646984100342,-0.23813816884907502,0.04269274453662246,0.9572673439377771
10.3125,0.4331105649471283,7.394627094268799,1.347214937210083,-0.23542774688801538,0.044482358652027695,0.9546292287119876
10.333333333333332,0.500800371170044,7.3154754638671875,1.368590235710144,-0.23273043824399414,0.04594434607422152,0.9519716561593531
10.354166666666666,0.5428795218467712,7.2178778648376465,1.3864617347717285,-0.2296218213122743,0.04682635526798896,0.9493302442251246
10.375,0.5849112272262573,7.083326816558838,1.4038504362106323,-0.22566585249825488,0.047695656869927855,0.9467115594558342
10.395833333333332,0.6262925863265991,6.924018859863281,1.42133367061615,-0.22112717937880627,0.048552341350413725,0.9441155853609555
10.416666666666666,0.667149007320404,6.759507656097412,1.4386993646621704,-0.2164597128364351,0.04939649941623115,0.9415423026172485
10.4375,0.7073944807052612,6.5961174964904785,1.4559153318405151,-0.2118231745923121,0.050228221994361735,0.938991689117294
10.458333333333332,0.7537933588027954,6.399783611297607,1.4736803770065308,-0.2068031632033608,0.051047600215987685,0.934598509304857
10.479166666666666,0.7597740292549133,6.123500347137451,1.4864872694015503,-0.20025067303865124,0.05107668476916948,0.929522901722094
10.5,0.7478380799293518,5.8478217124938965,1.497337818145752,-0.19374596462713614,0.05076245458920508,0.9244914090408096
10.520833333333332,0.7365458011627197,5.572731971740723,1.5082610845565796,-0.1872891397171033,0.05044544333084192,0.919394194837731
10.541666666666666,0.723764181137085,5.288127899169922,1.5187733173370361,-0.18088029182820584,0.050033420077364735,0.913650217358271
10.5625,0.6702755689620972,5.00711727142334,1.5256922245025635,-0.1745195063727734,0.04889426769320028,0.90795689553144
10.583333333333332,0.6243033409118652,4.70336389541626,1.5335519313812256,-0.16763466084120873,0.04786640332107461,0.9023141729251386
10.604166666666666,0.5840113162994385,4.3850016593933105,1.5417449474334717,-0.1603841850495237,0.046920299213732336,0.8967821813906105
10.625,0.5477869510650635,4.068778991699219,1.5498651266098022,-0.15319023047600222,0.04597711037331086,0.8913487102610482
10.645833333333332,0.5150355696678162,3.7549798488616943,1.5582698583602905,-0.14605284900636087,0.045036500565720505,0.8859647279841903
10.666666666666666,0.47792014479637146,3.44399356842041,1.5667535066604614,-0.13897208392226773,0.0440118548339243,0.8806301550217598
10.6875,0.44424280524253845,3.135782480239868,1.573386549949646,-0.13194797003635803,0.04299001500504227,0.8753449063786998
10.708333333333332,0.41319239139556885,2.7913002967834473,1.579257845878601,-0.12388053314641588,0.041972141074588014,0.8701088917043253
10.729166666666666,0.3853151798248291,2.3996734619140625,1.5841923952102661,-0.11444156673986289,0.04095830674459273,0.8649220153926577
10.75,0.3696185350418091,2.0288031101226807,1.5898237228393555,-0.10508043650007765,0.040170599024501076,0.8606222188321259
10.770833333333332,0.3703683614730835,1.6682789325714111,1.596201777458191,-0.0957971391390617,0.03973915185130858,0.8567384810181025
10.791666666666666,0.37130287289619446,1.2999690771102905,1.6011199951171875,-0.08619157949377543,0.039307158535015894,0.8529338919348777
10.8125,0.36977913975715637,0.932685136795044,1.6058790683746338,-0.07659600633443678,0.038874687052899155,0.8491675808197452
10.833333333333332,0.35124671459198,0.5723360180854797,1.6106138229370117,-0.06708211712225845,0.0380836426040348,0.8455897640879806
10.854166666666666,0.3267418146133423,0.22099334001541138,1.6154673099517822,-0.05755156143845153,0.037206343215317905,0.8424179548062923
10.875,0.3027685880661011,-0.1349991410970688,1.620235562324524,-0.04783118005095721,0.03633248606674982,0.8392797386775428
10.895833333333332,0.28504320979118347,-0.4881278872489929,1.6241790056228638,-0.03819539961944092,0.0356089993041017,0.8361749910469665
10.916666666666666,0.27087509632110596,-0.8383061289787292,1.6282539367675781,-0.028644142693830605,0.03494236371849822,0.8331035847302024
10.9375,0.25729334354400635,-1.1854983568191528,1.6324992179870605,-0.01917732151806511,0.03427767673392864,0.8300653900726117
10.958333333333332,0.24382822215557098,-1.5292577743530273,1.636076807975769,-0.009794838212363058,0.033614997001139756,0.8270602750079364
10.979166666666666,0.2312200665473938,-1.8540761470794678,1.6393184661865234,-0.0004965849539534604,0.032954381927583674,0.8247692806236155
11.0,0.21824587881565094,-2.1766557693481445,1.6427061557769775,0.00901702190236426,0.0322664319140735,0.8228995676493914
11.020833333333332,0.2044239491224289,-2.4988718032836914,1.6447815895080566,0.01853462931079988,0.031562029942861294,0.8210535686442872
11.041666666666666,0.18640196323394775,-2.813612699508667,1.6459304094314575,0.027893359352142367,0.030860260019123648,0.8192923266248916
11.0625,0.1859416961669922,-3.1034162044525146,1.646236777305603,0.037165737948165245,0.03060712856761115,0.8187493591766594
11.083333333333332,0.19891007244586945,-3.376389503479004,1.645829439163208,0.04634745098352688,0.03073670014315774,0.8191292205563436
11.104166666666666,0.2114366590976715,-3.619309425354004,1.6454294919967651,0.05491214886666177,0.03086214763839091,0.8203762234141074
11.125,0.22396621108055115,-3.8565003871917725,1.6432520151138306,0.06339128655003141,0.030983521826734504,0.8216210198299516
11.145833333333332,0.2943532168865204,-4.089820384979248,1.6350281238555908,0.07178924650455376,0.03283507127601015,0.8228634762798509
